gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 26.94    243.0      203.0      40.0   
 26.96    223.0      203.0      20.0   
 26.98    218.0      203.0      15.0   
 27.0     237.0      203.0      34.0   
 27.02    240.0      203.0      37.0   
 27.04    255.0      203.0      52.0   
 27.06    258.0      203.0      55.0   
 27.08    254.0      203.0      51.0   
 27.1     234.0      202.0      32.0   
 27.12    231.0      202.0      29.0   
 27.14    222.0      202.0      20.0   
 27.16    264.0      202.0      62.0   
 27.18    249.0      202.0      47.0   
 27.2     241.0      202.0      39.0   
 27.22    231.0      202.0      29.0   
 27.24    229.0      202.0      27.0   
 27.26    225.0      201.0      24.0   
 27.28    239.0      201.0      38.0   
 27.3     232.0      201.0      31.0   
 27.32    247.0      201.0      46.0   
 27.34    249.0      201.0      48.0   
 27.36    209.0      201.0      8.0    
 27.38    211.0      201.0      10.0   
 27.4     238.0      201.0      37.0   
 27.42    224.0      200.0      24.0   
 27.44    238.0      200.0      38.0   
 27.46    238.0      200.0      38.0   
 27.48    214.0      200.0      14.0   
 27.5     228.0      200.0      28.0   
 27.52    225.0      207.0      18.0   
 27.54    235.0      207.0      28.0   
 27.56    229.0      208.0      21.0   
 27.58    246.0      208.0      38.0   
 27.6     221.0      213.0      8.0    
 27.62    244.0      214.0      30.0   
 27.64    248.0      215.0      33.0   
 27.66    232.0      216.0      16.0   
 27.68    231.0      218.0      13.0   
 27.7     220.0      220.0      .0     
 27.72    270.0      223.0      47.0   
 27.74    245.0      226.0      19.0   
 27.76    270.0      229.0      41.0   
 27.78    250.0      234.0      16.0   
 27.8     244.0      239.0      5.0    
 27.82    262.0      245.0      17.0   
 27.84    291.0      253.0      38.0   
 27.86    291.0      263.0      28.0   
 27.88    311.0      276.0      35.0   
 27.9     335.0      292.0      43.0   
 27.92    314.0      314.0      .0     
 27.94    366.0      344.0      22.0   
 27.96    409.0      385.0      24.0   
